Owner:;Invent.Nr.;Bezeichnung:;Kategorie:;Gebäude:;Raum:;Abteilung:;Serien-Nr.;Rechnungsdatum:;Wert:;Lieferant;Leistung;Fassung;Gewicht;Lampentyp;Apparate-Nr.
AV-Technik;AVZ22589;Blu-ray Disc Player Sony BDP-S350;Video Player/Recorder;see225;;Tanz;1176873;25.06.09;499;Z&B;;;;;
AV-Technik;AVZ22590;Blu-ray Disc Player Sony BDP-S350;Video Player/Recorder;see225;;Tanz;1176879;25.06.09;499;Z&B;;;;;
AV-Technik;AVZ22591;CD-Player Tascam CD-160MK2;Audio Recorder/Player;see225;;Tanz;270172;25.06.09;560;Z&B;;;;;
AV-Technik;AVZ22592;CD-Player Tascam CD-160MK2;Audio Recorder/Player;see225;;Tanz;270168;25.06.09;560;Z&B;;;;;
Bühnentechnik PZ;BTK23500;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;651
Bühnentechnik PZ;BTK23501;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;652
Bühnentechnik PZ;BTK23502;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;653
Bühnentechnik PZ;BTK23503;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;654
Bühnentechnik PZ;BTK23504;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;655
Bühnentechnik PZ;BTK23505;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;656
Bühnentechnik PZ;BTK23506;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;657
Bühnentechnik PZ;BTK23507;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;658
Bühnentechnik PZ;BTK23508;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;659
Bühnentechnik PZ;BTK23509;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;660
Bühnentechnik PZ;BTK23510;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;661
Bühnentechnik PZ;BTK23511;1 kW ETC S4 Parnel;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;04.07.02;385;Merlo;750;2pinspecial;3.6;HPL 750/240;662
Bühnentechnik PZ;BTK23512;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1601
Bühnentechnik PZ;BTK23513;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1602
Bühnentechnik PZ;BTK23514;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1603
Bühnentechnik PZ;BTK23515;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1604
Bühnentechnik PZ;BTK23516;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1605
Bühnentechnik PZ;BTK23517;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1606
Bühnentechnik PZ;BTK23518;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1607
Bühnentechnik PZ;BTK23519;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1608
Bühnentechnik PZ;BTK23520;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1609
Bühnentechnik PZ;BTK23521;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1610
Bühnentechnik PZ;BTK23522;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1611
Bühnentechnik PZ;BTK23523;1 kW Fluter Selecon Lui Cyc (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;LUI 7754;30.08.07;435;EBZ;1000;R 7s;4.1;;1612
Bühnentechnik PZ;BTK23524;150 W Major Trussbeam;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;06.05.02;350;Musik Aktiv;150;G6,35/Gy6,35;3.4;;663
Bühnentechnik PZ;BTK23525;150 W Major Trussbeam;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;06.05.02;350;Musik Aktiv;150;G6,35/Gy6,36;3.4;;664
Bühnentechnik PZ;BTK23526;150 W Major Trussbeam;Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;06.05.02;350;Musik Aktiv;150;G6,35/Gy6,37;3.4;;665
Bühnentechnik PZ;BTK23527;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;01.01.90;430;EBZ;1000;R 7s;3.5;;617
Bühnentechnik PZ;BTK23528;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;01.01.90;430;EBZ;1000;R 7s;3.5;;618
Bühnentechnik PZ;BTK23529;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;01.01.90;430;EBZ;1000;R 7s;3.5;;619
Bühnentechnik PZ;BTK23530;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;01.01.90;430;EBZ;1000;R 7s;3.5;;620
Bühnentechnik PZ;BTK23531;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;01.01.90;430;EBZ;1000;R 7s;3.5;;621
Bühnentechnik PZ;BTK23532;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;01.01.90;430;EBZ;1000;R 7s;3.5;;622
Bühnentechnik PZ;BTK23533;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;623
Bühnentechnik PZ;BTK23534;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;624
Bühnentechnik PZ;BTK23535;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;625
Bühnentechnik PZ;BTK23536;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;626
Bühnentechnik PZ;BTK23537;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;627
Bühnentechnik PZ;BTK23538;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;628
Bühnentechnik PZ;BTK23539;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;629
Bühnentechnik PZ;BTK23540;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;630
Bühnentechnik PZ;BTK23541;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;18.04.97;430;Merlo;1000;R 7s;3.5;;631
Bühnentechnik PZ;BTK23542;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;632
Bühnentechnik PZ;BTK23543;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;633
Bühnentechnik PZ;BTK23544;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;634
Bühnentechnik PZ;BTK23545;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;635
Bühnentechnik PZ;BTK23546;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;636
Bühnentechnik PZ;BTK23547;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;637
Bühnentechnik PZ;BTK23548;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;638
Bühnentechnik PZ;BTK23549;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;639
Bühnentechnik PZ;BTK23550;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;640
Bühnentechnik PZ;BTK23551;1kW Fluter Coemar diluvioA1000 (asymm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;01700422/1;05.05.97;430;Merlo;1000;R 7s;3.5;;641
Bühnentechnik PZ;BTK23552;1kW Fluter Coemar diluvioS1000 (symm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;01.01.90;430;EBZ;1000;R 7s;3.5;;611
Bühnentechnik PZ;BTK23553;1kW Fluter Coemar diluvioS1000 (symm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;01.01.90;430;EBZ;1000;R 7s;3.5;;612
Bühnentechnik PZ;BTK23554;1kW Fluter Coemar diluvioS1000 (symm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;01.01.90;430;EBZ;1000;R 7s;3.5;;613
Bühnentechnik PZ;BTK23555;1kW Fluter Coemar diluvioS1000 (symm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;01.01.90;430;EBZ;1000;R 7s;3.5;;614
Bühnentechnik PZ;BTK23556;1kW Fluter Coemar diluvioS1000 (symm);Licht/Scheinwerfer;Ge09;Bühne B;Bühnentechnik PZ;keine;01.01.90;430;EBZ;1000;R 7s;3.5;;615
Bühnentechnik PZ;BTK23557;1kW Fluter Coemar diluvioS1000 (symm);Licht/Scheinwerfer;Ge09;Bühne A;Bühnentechnik PZ;keine;01.01.90;430;EBZ;1000;R 7s;3.5;;616
